City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Hithadhoo,MV,82.76,clear sky,-0.6,73.0833,Scoop Guest House
6,Buala,SB,80.47,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
9,Ontario,US,80.26,few clouds,34.0633,-117.6509,American Inn
18,Kapaa,US,80.92,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
19,Padang,ID,77.23,overcast clouds,-0.9492,100.3543,Mercure Padang
25,Atuona,PF,79.2,light rain,-9.8,-139.0333,Villa Enata
27,Hilo,US,79.79,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
31,Victoria,HK,82.45,overcast clouds,22.2855,114.1577,Mini Hotel Central
35,Korla,CN,78.73,scattered clouds,41.7597,86.1469,Gulisitan Hotel
38,Toledo,ES,88.09,clear sky,39.8333,-4.0,Hotel Carlos V Toledo
40,Cayenne,GF,82.44,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
41,Rio Claro,BR,78.78,light rain,-22.4114,-47.5614,Hotel Vivendas Rio Claro by Atlantica
44,Banda Aceh,ID,79.93,overcast clouds,5.5577,95.3222,Sulthan Hotel International
47,Brown Deer,US,89.46,clear sky,43.1633,-87.9645,Courtyard by Marriott Milwaukee North/Brown Deer
48,Rikitea,PF,76.75,light rain,-23.1203,-134.9692,Pension Maro'i
56,Gushikawa,JP,76.23,moderate rain,26.3544,127.8686,Kirari Guest House
63,Lata,PT,77.04,clear sky,40.1629,-8.3327,Casa Maquia
66,Matara,LK,78.3,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
72,Goderich,CA,85.03,overcast clouds,43.7501,-81.7165,Harmony Inn
73,San Fernando,PH,81.14,light rain,15.0286,120.6898,Maharlika Hostel
80,Cassilandia,BR,88.03,overcast clouds,-19.1133,-51.7342,Delirius Motel
87,Kuching,MY,77.22,scattered clouds,1.55,110.3333,The Ranee Boutique Suites
88,Butaritari,KI,80.35,moderate rain,3.0707,172.7902,Isles Sunset Lodge
91,Malakal,SS,87.31,broken clouds,9.5334,31.6605,Nile Palace Hotel
94,Kavaratti,IN,83.57,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
103,Alberton,CA,84.33,overcast clouds,46.8168,-64.0654,La Petite France B&B
104,Ottumwa,US,88.48,broken clouds,41.02,-92.4113,Hampton Inn Ottumwa
105,Acarau,BR,82.42,broken clouds,-2.8856,-40.12,castelo pizzaria
108,Bethel,US,87.51,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
112,Hamilton,US,83.03,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
117,Forest Hills,US,88.32,broken clouds,42.9595,-85.4898,Bronson St. Smoking Area
121,Shache,CN,77.92,overcast clouds,38.4167,77.2406,Delong Hotel
126,Arraial Do Cabo,BR,75.16,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
128,Brewster,US,87.76,moderate rain,41.3973,-73.6171,Heidi's Inn
129,Faanui,PF,79.52,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
130,Itarema,BR,82.49,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
131,Acapulco,MX,85.82,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
135,Puerto Ayora,EC,80.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
137,Ixtapa,MX,85.23,clear sky,20.7,-105.2,Hotel Plaza Providencia
140,Shelburne,CA,79.12,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
144,Meulaboh,ID,76.57,overcast clouds,4.1363,96.1285,Kost Pria
148,Mizdah,LY,77.0,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
149,Calabozo,VE,87.75,overcast clouds,8.9242,-67.4293,Hotel Giardini
157,Kavieng,PG,81.34,moderate rain,-2.5744,150.7967,Nusa Island Retreat
158,Havelock,US,83.95,few clouds,34.8791,-76.9013,Sherwood Motel
159,Alta Floresta,BR,89.42,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
164,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
167,Kathu,TH,86.7,light rain,7.9178,98.3332,Novotel Phuket Resort
173,Filadelfia,US,89.08,broken clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
175,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
185,Sao Domingos Do Maranhao,BR,87.35,overcast clouds,-5.5758,-44.3853,Pousada Babaçu
195,Havre-Saint-Pierre,CA,75.56,clear sky,50.2334,-63.5986,Auberge Niapiskau
196,Jamestown,US,80.85,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
200,Vila Velha,BR,81.97,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
202,Grand Island,US,87.03,overcast clouds,40.925,-98.342,Fairfield Inn & Suites by Marriott Grand Island
203,Aracati,BR,86.16,overcast clouds,-4.5617,-37.7697,Motel Pousada Milleniun - Aracati-CE
212,Labuhan,ID,77.32,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
215,Omboue,GA,77.05,broken clouds,-1.5746,9.2618,Hotel Olako
216,Abnub,EG,86.22,clear sky,27.2696,31.1511,Romany Adly Gad
221,Banmankhi,IN,84.54,clear sky,25.8833,87.1833,Tiwari Lodge Banmankhi Purnia
223,Namatanai,PG,78.73,light rain,-3.6667,152.4333,Seagulls Inn Namatani
227,Luwuk,ID,75.45,clear sky,-0.9516,122.7875,Hotel Santika Luwuk
229,Gizo,SB,81.54,light rain,-8.103,156.8419,Imagination Island
230,Bogande,BF,89.89,light rain,12.9714,-0.1436,Auberge Wendkouni
234,Tautira,PF,80.62,overcast clouds,-17.7333,-149.15,Pension Oaoa
235,Bandarbeyla,SO,79.5,clear sky,9.4942,50.8122,JABIR HOTEL
239,Palmer,US,89.47,overcast clouds,42.1584,-72.3287,Wedgewood Motel
240,Soure,BR,82.6,overcast clouds,-0.7167,-48.5233,Casarão da Amazônia
243,Kalmunai,LK,78.89,broken clouds,7.4167,81.8167,VS Villa
252,Tatawin,TN,79.68,broken clouds,32.9297,10.4518,Sangho Privilege Tataouine
255,Paka,MY,76.93,broken clouds,4.6374,103.4368,RUMBIA RESORT VILLA
257,Maragogi,BR,78.17,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
258,Isla Mujeres,MX,87.85,overcast clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
262,Samarai,PG,78.98,broken clouds,-10.6167,150.6667,Nuli Sapi
264,Lorengau,PG,79.99,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
265,Augusto Correa,BR,83.07,overcast clouds,-1.0217,-46.635,Fazenda Bacuri
267,Portel,BR,82.94,moderate rain,-1.9356,-50.8211,Kitnet do Marcos
285,Batavia,US,89.02,broken clouds,41.85,-88.3126,Comfort Inn & Suites Geneva - West Chicago
287,Breves,BR,84.16,heavy intensity rain,-1.6822,-50.4803,Hotel e Restaurante Grill
290,Cam Ranh,VN,76.96,broken clouds,11.9214,109.1591,OYO 598 Peony Hotel
293,Salvador,SV,83.05,broken clouds,13.8333,-88.9167,Chico's Ranch
294,Inirida,CO,83.53,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
298,Marsh Harbour,BS,79.86,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
301,Torbay,CA,79.57,few clouds,47.6666,-52.7314,Gallows Cove
308,Benguela,AO,75.85,broken clouds,-12.5763,13.4055,Hotel Praia Morena
309,Faya,SA,80.71,clear sky,18.3851,42.4509,مقبرة ال مجمل
316,Dingle,PH,76.28,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
321,Monrovia,LR,80.53,few clouds,6.3005,-10.7969,Sunset Inn
323,Mitsamiouli,KM,78.12,clear sky,-11.3847,43.2844,Foyer ADM
326,Marshall,US,86.05,scattered clouds,34.3834,-86.3333,Riverview Campground
335,Baracoa,CU,80.98,broken clouds,20.3467,-74.4958,Hostal Rio Miel
340,Sao Joao Da Barra,BR,78.89,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
341,Nouadhibou,MR,75.18,overcast clouds,20.931,-17.0347,El Medina
344,Cabedelo,BR,79.47,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
