,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hermanus,ZA,-34.4187,19.2345,60.91,76,100,6.4,overcast clouds
1,Pevek,RU,69.7008,170.3133,35.51,91,34,6.29,scattered clouds
2,Luderitz,NA,-26.6481,15.1594,59.76,81,1,3.06,clear sky
3,Hithadhoo,MV,-0.6,73.0833,82.76,73,0,9.78,clear sky
4,Albany,US,42.6001,-73.9662,87.75,80,100,1.99,moderate rain
5,Kaeo,NZ,-35.1,173.7833,57.33,97,94,12.1,overcast clouds
6,Buala,SB,-8.145,159.5921,80.47,80,92,10.27,overcast clouds
7,Mocuba,MZ,-16.8392,36.9856,61.32,96,3,2.8,clear sky
8,Ushuaia,AR,-54.8,-68.3,46.02,81,20,5.75,few clouds
9,Ontario,US,34.0633,-117.6509,80.26,51,20,4.61,few clouds
10,Husavik,IS,66.0449,-17.3389,51.71,86,75,5.35,broken clouds
11,Tuktoyaktuk,CA,69.4541,-133.0374,48.2,57,75,6.91,broken clouds
12,Sharlyk,RU,52.9167,54.75,57.6,86,7,4.54,clear sky
13,Tasiilaq,GL,65.6145,-37.6368,41.16,90,80,2.3,broken clouds
14,Mahebourg,MU,-20.4081,57.7,71.89,78,75,12.66,broken clouds
15,Guerrero Negro,MX,27.9769,-114.0611,69.93,54,12,15.61,few clouds
16,Shingu,JP,33.7333,135.9833,68.49,72,100,5.19,overcast clouds
17,Provideniya,RU,64.3833,-173.3,28.51,93,90,4.47,mist
18,Kapaa,US,22.0752,-159.319,80.92,73,75,5.01,light rain
19,Padang,ID,-0.9492,100.3543,77.23,87,100,3.18,overcast clouds
20,Upernavik,GL,72.7868,-56.1549,38.46,86,18,1.68,few clouds
21,Vaini,TO,-21.2,-175.2,64.56,94,75,0.0,broken clouds
22,Ribeira Grande,PT,38.5167,-28.7,68.4,94,40,11.5,scattered clouds
23,Hobart,AU,-42.8794,147.3294,51.93,91,75,1.99,broken clouds
24,Hay River,CA,60.8156,-115.7999,48.18,71,40,9.22,scattered clouds
25,Atuona,PF,-9.8,-139.0333,79.2,80,85,17.4,light rain
26,Mataura,NZ,-46.1927,168.8643,49.48,97,100,2.59,overcast clouds
27,Hilo,US,19.7297,-155.09,79.79,77,90,5.75,light rain
28,Kodiak,US,57.79,-152.4072,54.91,62,75,4.61,broken clouds
29,Chokurdakh,RU,70.6333,147.9167,39.11,72,6,3.58,clear sky
30,Punta Arenas,CL,-53.15,-70.9167,42.91,87,40,8.12,scattered clouds
31,Victoria,HK,22.2855,114.1577,82.45,86,100,1.01,overcast clouds
32,Dzhebariki-Khaya,RU,62.2167,135.8,54.45,56,97,3.74,overcast clouds
33,Olafsvik,IS,64.8945,-23.7142,47.79,80,82,4.54,broken clouds
34,Yarmouth,US,41.7057,-70.2286,93.18,65,1,5.01,clear sky
35,Korla,CN,41.7597,86.1469,78.73,27,45,3.76,scattered clouds
36,Bambous Virieux,MU,-20.3428,57.7575,71.85,78,75,17.43,broken clouds
37,Qaanaaq,GL,77.484,-69.3632,41.54,82,98,6.17,overcast clouds
38,Toledo,ES,39.8333,-4.0,88.09,21,3,7.78,clear sky
39,Vestmanna,FO,62.1564,-7.1664,47.32,100,90,11.95,mist
40,Cayenne,GF,4.9333,-52.3333,82.44,87,40,1.01,scattered clouds
41,Rio Claro,BR,-22.4114,-47.5614,78.78,63,100,11.21,light rain
42,Ventspils,LV,57.3894,21.5606,60.73,94,0,2.3,clear sky
43,Bluff,NZ,-46.6,168.3333,49.8,90,100,6.91,overcast clouds
44,Banda Aceh,ID,5.5577,95.3222,79.93,77,100,15.23,overcast clouds
45,Port Alfred,ZA,-33.5906,26.891,67.48,50,100,7.83,overcast clouds
46,Ruwi,OM,23.5996,58.5507,91.09,60,61,1.63,broken clouds
47,Brown Deer,US,43.1633,-87.9645,89.46,59,1,5.75,clear sky
48,Rikitea,PF,-23.1203,-134.9692,76.75,82,100,20.67,light rain
49,Srednekolymsk,RU,67.45,153.6833,41.14,65,100,9.24,overcast clouds
50,Huangnihe,CN,43.5583,128.0239,54.55,76,100,3.53,overcast clouds
51,Vostok,RU,46.4856,135.8833,54.23,93,8,4.23,clear sky
52,Mirnyy,RU,62.5353,113.9611,36.86,93,8,6.35,clear sky
53,Bagotville,AU,-28.9833,153.4167,66.02,82,96,13.85,overcast clouds
54,Busselton,AU,-33.65,115.3333,55.04,52,100,20.92,light rain
55,Saint George,US,37.1041,-113.5841,93.67,11,1,1.01,clear sky
56,Gushikawa,JP,26.3544,127.8686,76.23,94,75,9.17,moderate rain
57,Kindersley,CA,51.4668,-109.1682,65.98,34,90,2.3,overcast clouds
58,Saint-Philippe,RE,-21.3585,55.7679,68.22,66,99,16.53,overcast clouds
59,Nadym,RU,65.5333,72.5167,36.57,69,47,5.55,scattered clouds
60,Tarko-Sale,RU,64.9225,77.785,36.0,85,28,9.08,heavy intensity rain
61,Bredasdorp,ZA,-34.5322,20.0403,58.32,88,100,3.04,overcast clouds
62,Scottsbluff,US,41.8666,-103.6672,95.23,27,1,14.0,clear sky
63,Lata,PT,40.1629,-8.3327,77.04,54,0,5.53,clear sky
64,Necochea,AR,-38.5473,-58.7368,64.04,61,5,15.37,clear sky
65,Maniitsoq,GL,65.4167,-52.9,45.23,75,100,13.73,overcast clouds
66,Matara,LK,5.9485,80.5353,78.3,89,29,11.95,scattered clouds
67,Havre,FR,49.5833,0.3333,70.2,64,0,6.58,clear sky
68,Sabha,LY,27.0377,14.4283,92.84,13,6,10.0,clear sky
69,Evensk,RU,61.95,159.2333,46.83,87,66,0.72,broken clouds
